"filename", "language", "JavaScript", "JavaScript JSX", "XML", "comment", "blank", "total"
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\App.jsx", "JavaScript JSX", 0, 5, 0, 0, 2, 7
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\Context\UserContent.jsx", "JavaScript JSX", 0, 13, 0, 1, 5, 19
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\GlobalStyled.jsx", "JavaScript JSX", 0, 325, 0, 0, 2, 327
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\assets\react.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Button\Button.jsx", "JavaScript JSX", 0, 8, 0, 1, 2, 11
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Button\ButtonStyled.jsx", "JavaScript JSX", 0, 19, 0, 0, 2, 21
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Card\Card.jsx", "JavaScript JSX", 0, 19, 0, 3, 2, 24
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Card\CardStyled.jsx", "JavaScript JSX", 0, 58, 0, 0, 3, 61
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\ChoreSkeleton\ChoreSkeleton.jsx", "JavaScript JSX", 0, 15, 0, 0, 2, 17
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\ChoreSkeleton\ChoreSkeletonStyled.jsx", "JavaScript JSX", 0, 34, 0, 0, 2, 36
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\ClientSkeleton\ClientSkeleton.jsx", "JavaScript JSX", 0, 28, 0, 3, 2, 33
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\ClientSkeleton\ClientSkeletonStyled.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 1
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\CreateEmployee\CreateEmployee.jsx", "JavaScript JSX", 0, 99, 0, 2, 8, 109
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\CreateEmployee\CreateEmployeeStyled.jsx", "JavaScript JSX", 0, 72, 0, 0, 4, 76
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Delete\Delete.jsx", "JavaScript JSX", 0, 60, 0, 1, 4, 65
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Delete\DeleteStyled.jsx", "JavaScript JSX", 0, 44, 0, 0, 2, 46
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\ErrorSpan\ErrorSpan.jsx", "JavaScript JSX", 0, 4, 0, 1, 2, 7
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\ErrorSpan\ErrorSpanStyled.jsx", "JavaScript JSX", 0, 9, 0, 0, 2, 11
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\InfoSkeleton\InfoSkeleton.jsx", "JavaScript JSX", 0, 43, 0, 3, 3, 49
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\InfoSkeleton\InfoSkeletonStyled.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 1
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Input\Input.jsx", "JavaScript JSX", 0, 36, 0, 2, 3, 41
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Input\InputStyled.jsx", "JavaScript JSX", 0, 20, 0, 0, 2, 22
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Label\Label.jsx", "JavaScript JSX", 0, 4, 0, 2, 3, 9
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Label\LabelStyled.jsx", "JavaScript JSX", 0, 6, 0, 0, 2, 8
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Navbar\Navbar.jsx", "JavaScript JSX", 0, 134, 0, 10, 9, 153
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Navbar\NavbarStyled.jsx", "JavaScript JSX", 0, 154, 0, 1, 5, 160
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\PlanSkeleton\PlanSkeleton.jsx", "JavaScript JSX", 0, 15, 0, 3, 3, 21
